qtr,down,TimeSecs,yrdline100,ydstogo,ScoreDiff,offense_team_id,defense_team_id,play_type_numeric
1,1,3600,80,10,0,26,2,1
1,2,3585,78,8,0,26,2,0
1,3,3554,76,6,0,26,2,1
1,1,3539,75,10,0,2,26,0
1,2,3507,72,7,0,2,26,1
1,1,3474,55,10,0,2,26,1
1,1,3438,30,10,0,2,26,0
1,2,3406,21,1,0,2,26,0
1,3,3365,23,3,0,2,26,1
1,1,3355,80,10,-3,26,2,0
1,2,3344,92,22,-3,26,2,1
1,3,3312,94,24,-3,26,2,1
1,1,3273,66,10,3,2,26,1
1,1,3238,42,10,3,2,26,0
1,2,3223,39,7,3,2,26,1
1,1,3192,17,10,3,2,26,0
1,2,3149,16,9,3,2,26,1
1,1,3115,6,6,3,2,26,0
1,2,3057,8,8,3,2,26,1
1,1,3050,80,10,-3,26,2,1
1,1,3028,67,10,-3,26,2,1
1,2,3024,67,10,-3,26,2,1
1,3,3020,67,10,-3,26,2,1
1,1,2987,80,10,3,2,26,0
1,2,2948,85,15,3,2,26,1
1,3,2943,85,15,3,2,26,1
1,1,2925,53,10,-3,26,2,1
1,2,2921,53,10,-3,26,2,1
1,3,2886,47,4,-3,26,2,1
1,1,2858,43,10,-3,26,2,0
1,2,2827,43,10,-3,26,2,0
1,3,2795,42,9,-3,26,2,1
1,4,2791,42,9,-3,26,2,0
1,1,2783,88,10,3,2,26,0
1,2,2752,85,7,3,2,26,1
1,1,2723,67,10,3,2,26,1
2,1,2700,54,10,3,2,26,0
2,2,2665,50,6,3,2,26,1
2,1,2623,42,10,3,2,26,0
2,2,2604,37,5,3,2,26,0
2,3,2562,33,1,3,2,26,1
2,1,2524,29,10,3,2,26,1
2,1,2493,6,6,3,2,26,0
2,2,2450,4,4,9,2,26,1
2,1,2444,80,10,-10,26,2,1
2,2,2418,74,4,-10,26,2,1
2,1,2393,68,10,-10,26,2,1
2,1,2362,43,10,-10,26,2,1
2,2,2339,37,4,-10,26,2,1
2,3,2336,37,4,-10,26,2,1
2,4,2311,34,1,-10,26,2,1
2,1,2274,16,10,-10,26,2,0
2,2,2251,11,5,-10,26,2,1
2,3,2248,11,5,-10,26,2,1
2,1,2231,77,10,7,2,26,1
2,2,2225,77,10,7,2,26,0
2,3,2195,70,3,7,2,26,1
2,1,2180,94,10,-7,26,2,1
2,2,2150,91,7,-7,26,2,1
2,3,2121,85,1,-7,26,2,1
2,1,2105,46,10,7,2,26,0
2,2,2087,40,4,7,2,26,0
2,3,2048,38,2,7,2,26,1
2,1,2006,35,10,7,2,26,0
2,2,1969,33,8,7,2,26,1
2,1,1920,34,20,7,2,26,1
2,2,1911,27,13,7,2,26,1
2,3,1876,15,1,7,2,26,0
2,1,1865,80,10,-10,26,2,1
2,1,1851,22,10,16,2,26,1
2,1,1845,80,10,-17,26,2,1
2,2,1840,80,10,-17,26,2,0
