qtr,down,yrdline100,ydstogo,ScoreDiff,pass_proportion,prev_pass_yards,prev_run_yards,consecutive_count,defense_team_id,play_type_numeric
1,1,80,10,0,1,0,0,0,2,1
1,2,78,8,0,0.5,2,0,0,2,0
1,3,76,6,0,0.666666667,2,2,0,2,1
1,1,80,10,-3,0.5,1,2,0,2,0
1,2,92,22,-3,0.6,1,-5,0,2,1
1,3,94,24,-3,0.666666667,0,-5,1,2,1
1,1,80,10,-3,0.714285714,4,-5,2,2,1
1,1,67,10,-3,0.75,6.25,-12,3,2,1
1,2,67,10,-3,0.777777778,6.25,-12,4,2,1
1,3,67,10,-3,0.8,5,0,5,2,1
1,1,53,10,-3,0.818181818,6.8,0,6,2,1
1,2,53,10,-3,0.833333333,4,0,7,2,1
1,3,47,4,-3,0.846153846,2.6,0,8,2,1
1,1,43,10,-3,0.785714286,3.4,0,0,2,0
1,2,43,10,-3,0.733333333,4.25,0,1,2,0
1,3,42,9,-3,0.75,3.333333333,0.5,0,2,1
1,4,42,9,-3,0.705882353,3.333333333,0.5,0,2,0
2,1,80,10,-10,0.722222222,2,0.333333333,0,2,1
2,2,74,4,-10,0.736842105,3,0.333333333,1,2,1
2,1,68,10,-10,0.75,4,0.5,2,2,1
2,1,43,10,-10,0.761904762,9.25,0,3,2,1
2,2,37,4,-10,0.772727273,10.75,0,4,2,1
2,3,37,4,-10,0.782608696,8.6,0,5,2,1
2,4,34,1,-10,0.791666667,8,0,6,2,1
2,1,16,10,-10,0.76,10.4,0,0,2,0
2,2,11,5,-10,0.769230769,6.75,5,0,2,1
2,3,11,5,-10,0.777777778,5.25,5,1,2,1
2,1,94,10,-7,0.785714286,5.25,5,2,2,1
2,2,91,7,-7,0.793103448,5.25,5,3,2,1
2,3,85,1,-7,0.8,2.25,5,4,2,1
2,1,80,10,-10,0.806451613,1.8,0,5,2,1
2,1,80,10,-17,0.8125,1.8,0,6,2,1
2,2,80,10,-17,0.787878788,1.8,0,0,2,0
2,1,69,10,-17,0.794117647,1.5,11,0,2,1
2,2,89,30,-17,0.771428571,0,11,0,2,0
3,1,8,8,-17,0.777777778,0,6,0,2,1
3,2,8,8,-11,0.756756757,0,6,0,2,0
3,1,97,12,-10,0.763157895,0,6.666666667,0,2,1
3,2,91,6,-10,0.769230769,2,4.5,1,2,1
3,1,92,18,-10,0.775,4.333333333,4.5,2,2,1
3,1,73,10,-10,0.780487805,8,8,3,2,1
3,2,66,3,-10,0.761904762,9.75,8,0,2,0
3,3,74,11,-10,0.76744186,9.75,2,0,2,1
3,1,62,10,-10,0.772727273,11.25,2,1,2,1
3,1,47,10,-10,0.777777778,13.25,2,2,2,1
3,2,49,12,-10,0.782608696,10.5,2,3,2,1
3,1,37,10,-10,0.787234043,11.75,2,4,2,1
