game_id,down,distance_to_first,field_position_numeric,play_type,quarter,total_seconds_remaining,score_differential,offense_team_id,defense_team_id,day_of_year,day_of_week_sin,day_of_week_cos,play_result_yards,is_interception,is_fumble
20240104_CIN@PIT,1,10,73,0,1,3595,0,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,73,1,1,3555,0,7,27,4,-0.974927912,-0.222520934,12,0,0
20240104_CIN@PIT,1,10,61,1,1,3514,0,7,27,4,-0.974927912,-0.222520934,9,0,0
20240104_CIN@PIT,2,1,52,1,1,3472,0,7,27,4,-0.974927912,-0.222520934,16,0,0
20240104_CIN@PIT,1,10,36,0,1,3435,0,7,27,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,2,5,31,0,1,3404,0,7,27,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,3,1,27,1,1,3365,0,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,1,10,19,1,1,3325,0,7,27,4,-0.974927912,-0.222520934,7,0,0
20240104_CIN@PIT,2,3,12,1,1,3293,0,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,60,0,1,3289,0,27,7,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,2,7,57,1,1,3256,0,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,3,7,57,1,1,3210,0,27,7,4,-0.974927912,-0.222520934,-9,0,0
20240104_CIN@PIT,1,10,67,1,1,3167,0,7,27,4,-0.974927912,-0.222520934,9,0,0
20240104_CIN@PIT,2,1,58,0,1,3134,0,7,27,4,-0.974927912,-0.222520934,-1,0,0
20240104_CIN@PIT,3,2,59,1,1,3091,0,7,27,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,1,10,54,1,1,3051,0,7,27,4,-0.974927912,-0.222520934,11,0,0
20240104_CIN@PIT,1,10,43,0,1,3013,0,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,2,2,35,1,1,2974,0,7,27,4,-0.974927912,-0.222520934,1,0,0
20240104_CIN@PIT,3,1,34,0,1,2931,0,7,27,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,1,10,30,1,1,2893,0,7,27,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,2,6,26,1,1,2852,0,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,3,6,26,1,1,2836,0,7,27,4,-0.974927912,-0.222520934,-4,0,0
20240104_CIN@PIT,1,10,39,0,2,2700,-4,27,7,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,2,6,35,0,2,2663,-4,27,7,4,-0.974927912,-0.222520934,1,0,0
20240104_CIN@PIT,1,10,29,0,2,2619,-4,27,7,4,-0.974927912,-0.222520934,11,0,0
20240104_CIN@PIT,1,10,18,0,2,2585,-4,27,7,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,2,7,15,0,2,2546,-4,27,7,4,-0.974927912,-0.222520934,6,0,0
20240104_CIN@PIT,3,1,9,0,2,2516,-4,27,7,4,-0.974927912,-0.222520934,1,0,0
20240104_CIN@PIT,1,8,8,0,2,2467,-4,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,8,8,0,2,2443,-4,27,7,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,1,1,1,0,2,2397,-4,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,5,51,1,2,2361,4,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,5,51,1,2,2355,4,7,27,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,1,10,46,0,2,2318,4,7,27,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,2,8,44,0,2,2279,4,7,27,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,3,6,42,1,2,2240,4,7,27,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,4,1,37,1,2,2197,4,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,62,0,2,2193,-4,27,7,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,2,6,58,0,2,2169,-4,27,7,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,3,3,55,1,2,2143,-4,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,15,89,1,2,2103,4,7,27,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,2,11,85,1,2,2062,4,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,3,3,77,1,2,2016,4,7,27,4,-0.974927912,-0.222520934,-4,0,0
20240104_CIN@PIT,1,15,38,1,2,1966,4,7,27,4,-0.974927912,-0.222520934,9,0,0
20240104_CIN@PIT,2,6,29,1,2,1920,4,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,24,0,2,1913,4,7,27,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,1,10,73,0,2,1875,-4,27,7,4,-0.974927912,-0.222520934,10,0,0
20240104_CIN@PIT,2,12,26,1,2,1873,4,7,27,4,-0.974927912,-0.222520934,0,1,0
20240104_CIN@PIT,1,10,83,1,2,1870,-4,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,83,1,2,1866,-4,27,7,4,-0.974927912,-0.222520934,11,0,0
20240104_CIN@PIT,1,10,72,1,2,1861,-4,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,70,0,3,1800,-6,27,7,4,-0.974927912,-0.222520934,-4,0,0
20240104_CIN@PIT,2,14,74,1,3,1761,-6,27,7,4,-0.974927912,-0.222520934,6,0,0
20240104_CIN@PIT,3,8,68,1,3,1721,-6,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,64,1,3,1704,6,7,27,4,-0.974927912,-0.222520934,15,0,0
20240104_CIN@PIT,1,10,49,0,3,1674,6,7,27,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,2,7,46,1,3,1633,6,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,1,10,38,1,3,1594,6,7,27,4,-0.974927912,-0.222520934,7,0,0
20240104_CIN@PIT,2,3,31,0,3,1553,6,7,27,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,1,10,28,1,3,1513,6,7,27,4,-0.974927912,-0.222520934,9,0,0
20240104_CIN@PIT,2,1,19,0,3,1480,6,7,27,4,-0.974927912,-0.222520934,6,0,0
20240104_CIN@PIT,1,10,13,1,3,1438,6,7,27,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,2,8,11,1,3,1396,6,7,27,4,-0.974927912,-0.222520934,6,0,0
20240104_CIN@PIT,3,2,5,1,3,1356,6,7,27,4,-0.974927912,-0.222520934,-12,0,0
20240104_CIN@PIT,1,10,70,0,3,1316,-9,27,7,4,-0.974927912,-0.222520934,9,0,0
20240104_CIN@PIT,2,1,61,0,3,1272,-9,27,7,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,1,10,58,0,3,1236,-9,27,7,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,2,8,56,1,3,1195,-9,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,3,8,56,1,3,1189,-9,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,5,41,1,4,900,9,7,27,4,-0.974927912,-0.222520934,19,0,0
20240104_CIN@PIT,1,10,22,0,4,878,9,7,27,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,2,7,19,1,4,836,9,7,27,4,-0.974927912,-0.222520934,-2,0,0
20240104_CIN@PIT,3,9,21,1,4,795,9,7,27,4,-0.974927912,-0.222520934,11,0,0
20240104_CIN@PIT,1,10,10,0,4,755,9,7,27,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,2,8,8,1,4,712,9,7,27,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,3,5,5,1,4,670,9,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,65,1,4,656,-12,27,7,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,2,5,60,1,4,634,-12,27,7,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,1,10,55,1,4,613,-12,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,55,1,4,609,-12,27,7,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,3,2,47,1,4,574,-12,27,7,4,-0.974927912,-0.222520934,4,0,0
20240104_CIN@PIT,1,10,43,1,4,554,-12,27,7,4,-0.974927912,-0.222520934,12,0,0
20240104_CIN@PIT,1,10,31,1,4,524,-12,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,31,1,4,520,-12,27,7,4,-0.974927912,-0.222520934,12,0,0
20240104_CIN@PIT,1,10,19,1,4,492,-12,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,73,1,4,481,12,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,73,1,4,476,12,7,27,4,-0.974927912,-0.222520934,14,0,0
20240104_CIN@PIT,1,10,59,1,4,452,12,7,27,4,-0.974927912,-0.222520934,-4,0,0
20240104_CIN@PIT,2,14,63,1,4,407,12,7,27,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,3,14,63,1,4,403,12,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,1,10,89,1,4,354,-12,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,89,1,4,351,-12,27,7,4,-0.974927912,-0.222520934,9,0,0
20240104_CIN@PIT,3,1,80,1,4,331,-12,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,1,10,38,1,4,314,-12,27,7,4,-0.974927912,-0.222520934,0,0,0
20240104_CIN@PIT,2,10,38,1,4,311,-12,27,7,4,-0.974927912,-0.222520934,10,0,0
20240104_CIN@PIT,1,10,87,0,4,273,12,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,1,10,28,0,4,272,-12,27,7,4,-0.974927912,-0.222520934,1,0,0
20240104_CIN@PIT,2,9,27,1,4,249,-12,27,7,4,-0.974927912,-0.222520934,-6,0,0
20240104_CIN@PIT,2,2,79,0,4,236,12,7,27,4,-0.974927912,-0.222520934,6,0,0
20240104_CIN@PIT,1,10,73,0,4,203,12,7,27,4,-0.974927912,-0.222520934,1,0,0
20240104_CIN@PIT,3,25,43,1,4,199,-12,27,7,4,-0.974927912,-0.222520934,7,0,0
20240104_CIN@PIT,2,9,72,1,4,164,12,7,27,4,-0.974927912,-0.222520934,8,0,0
20240104_CIN@PIT,1,10,56,0,4,149,9,7,27,4,-0.974927912,-0.222520934,2,0,0
20240104_CIN@PIT,2,8,54,1,4,145,9,7,27,4,-0.974927912,-0.222520934,5,0,0
20240104_CIN@PIT,3,3,49,1,4,139,9,7,27,4,-0.974927912,-0.222520934,-11,0,0
20240104_CIN@PIT,3,1,64,0,4,127,9,7,27,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,1,10,76,1,4,111,-9,27,7,4,-0.974927912,-0.222520934,-2,0,0
20240104_CIN@PIT,2,12,78,1,4,89,-9,27,7,4,-0.974927912,-0.222520934,3,0,0
20240104_CIN@PIT,1,10,61,1,4,88,9,7,27,4,-0.974927912,-0.222520934,15,0,0
20240104_CIN@PIT,3,9,75,1,4,68,-9,27,7,4,-0.974927912,-0.222520934,17,0,0
20240104_CLE@BAL,1,10,70,1,1,3600,0,8,3,4,-0.974927912,-0.222520934,21,0,0
20240104_CLE@BAL,1,10,49,0,1,3548,0,8,3,4,-0.974927912,-0.222520934,3,0,0
20240104_CLE@BAL,2,7,46,0,1,3511,0,8,3,4,-0.974927912,-0.222520934,3,0,0
20240104_CLE@BAL,3,4,43,0,1,3469,0,8,3,4,-0.974927912,-0.222520934,0,0,0
20240104_CLE@BAL,1,10,80,0,1,3427,0,3,8,4,-0.974927912,-0.222520934,-4,0,0
20240104_CLE@BAL,2,14,84,1,1,3389,0,3,8,4,-0.974927912,-0.222520934,12,0,0
20240104_CLE@BAL,3,2,72,0,1,3354,0,3,8,4,-0.974927912,-0.222520934,19,0,0
20240104_CLE@BAL,1,10,53,1,1,3313,0,3,8,4,-0.974927912,-0.222520934,0,0,0
20240104_CLE@BAL,2,10,53,1,1,3308,0,3,8,4,-0.974927912,-0.222520934,6,0,0
20240104_CLE@BAL,3,4,47,1,1,3271,0,3,8,4,-0.974927912,-0.222520934,0,0,0
